mask_path,label,image_path
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (1)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (10)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (100)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (100)_mask_1.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (101)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (102)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (103)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (104)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (105)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (106)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (107)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (108)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (109)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (11)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (110)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (111)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (112)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (113)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (114)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (115)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (116)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (117)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (118)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (119)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (12)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (120)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (121)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (122)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (123)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (124)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (125)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (126)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (127)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (128)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (129)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (13)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (130)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (131)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (132)_mask.png,benign,
